n_cargos,static_v3_cost_mean,static_v3_cost_min,static_v3_cost_max,static_v3_time_ms_median,static_v3_time_ms_min,static_v3_time_ms_max,static_v3_rounds,dynamic_v2_cost_mean,dynamic_v2_cost_min,dynamic_v2_cost_max,dynamic_v2_time_ms_median,dynamic_v2_time_ms_min,dynamic_v2_time_ms_max,dynamic_v2_rounds
1,537.5104825784385,240.1470570574299,763.0166604598598,0.22089999401941895,0.12650000280700624,0.745099998312071,1,240.1470570574299,240.1470570574299,240.1470570574299,0.6480000010924414,0.6267999997362494,1.1257999867666513,1
2,825.2263111859636,452.5140533119257,1135.211117795101,0.39755000034347177,0.23999999393709004,0.7243000145535916,1,432.41270281276064,432.41270281276064,432.41270281276064,0.9697499917820096,0.9341999830212444,1.2868000194430351,1
3,1111.6990325209456,716.8934032203153,1580.2377513731212,0.5729999829782173,0.37560000782832503,0.82230000407435,1,896.3856029118315,896.3856029118315,896.3856029118315,1.3273999938974157,1.2537000002339482,1.6206000000238419,1
4,1211.340166149897,675.5632976952854,1779.562101408273,0.6217500049388036,0.4304000176489353,1.108700002077967,1,1322.495700602576,1322.495700602576,1322.495700602576,1.2538500013761222,1.2112999975215644,1.833299989812076,1
5,1605.5005575756102,1172.2801400468948,2193.260539831734,0.9956000139936805,0.6142999918665737,1.7259000160265714,1,1622.123077480723,1571.6202868963674,1677.9419512844843,1.7110000044340268,1.5796000079717487,2.013400022406131,1
6,2039.6523876719696,1470.1882571475285,2721.2213712586035,1.050299993949011,0.7678999972995371,1.374599989503622,2,2069.401674152221,2018.8988835678651,2125.2205479559825,2.2911499836482108,2.103300008457154,2.751899999566376,2
7,2257.2078096682667,1627.1113873523173,2812.5291952390276,1.2288499856367707,0.777199980802834,3.036600013729185,2,2313.642777111811,2144.906736742355,2462.718968751319,3.038650000235066,2.7401000261306763,5.443599977297708,2
8,2367.549012573779,1978.3268020855953,3098.840261563726,1.4429000148084015,1.0523000091779977,2.58990001748316,2,2473.10731365559,2356.3973043632022,2596.920285798953,3.1748499895911664,2.9363999783527106,5.311099987011403,2
9,2518.4053422058855,1957.4173306895486,3156.5839327035005,1.5511499950662255,1.0275999957229942,3.160699998261407,2,2631.1540300322226,2416.676250429448,2765.186796026801,3.8814500148873776,3.504299995256588,5.77830002293922,2
10,2744.5483896652863,2157.2617936044717,3263.177831723096,1.6242499987129122,1.202200015541166,3.250400011893362,2,2630.964695887899,2404.445440921805,2801.1602043011367,3.198050006176345,2.968799992231652,3.837199998088181,2
11,2842.8422873822315,2222.586232689121,3667.8201875404166,1.5595500153722242,1.1778999760281295,2.414399990811944,3,3046.1613168881036,2758.056330108588,3377.912949833968,4.627750007784925,4.178900009719655,5.807000008644536,3
12,3057.986616638126,2305.0570306086943,3981.835719210681,1.714199999696575,1.285900012589991,4.230099992128089,3,3167.4630855599053,3116.3234069427253,3226.940860049135,4.7321499878307804,4.390600020997226,6.964400003198534,3
13,3134.3876060828084,2310.9043099566243,3987.2852988831037,1.7421500087948516,1.2260000221431255,4.405600018799305,3,2792.360056490456,2684.8154898434022,2979.187651535767,4.821599999559112,4.459199990378693,7.2484000120311975,3
14,3420.8447812091354,2658.9084993545966,4116.794952479474,1.8944499897770584,1.4017999928910285,3.2587999885436147,3,2968.4565671792716,2811.0075545239188,3105.379716216283,5.036750008002855,4.699799988884479,5.66709999111481,3
15,3658.4831053841717,2863.9657258169345,4419.5414691455935,1.911699990159832,1.3942000223323703,3.7601999938488007,3,3930.309792784446,3724.506692903815,4059.7188333942904,5.271199988783337,4.9940999888349324,7.621800003107637,3
16,3814.984653905922,2943.2627571688427,4681.066000576138,1.983000009204261,1.5315999917220324,2.7907999756280333,4,3379.8980558243366,3263.4809904482854,3567.892191107382,5.710400000680238,5.34120001248084,9.461199981160462,4
17,3818.257179902251,2988.363792547109,5041.957113520712,2.002049994189292,1.4393999881576747,2.7791000029537827,4,4433.790982805938,4276.059997737928,4613.098598693641,6.536050015711226,6.198099988978356,8.23629999649711,4
18,4410.8077967565105,3737.57302187585,5174.9320767005665,1.9516000029398128,1.6122999950312078,2.7763000107370317,4,4451.269428879182,4450.742660918773,4451.851646098581,6.792349988245405,6.4962999895215034,9.250300005078316,4
19,4481.995867573856,3789.185060403024,5384.441788958577,2.114499991876073,1.7781999777071178,3.109099983703345,4,5007.539520266711,4935.654013275445,5156.879338479128,7.716549996985123,7.356299989623949,9.705000004032627,4
20,4635.294159647286,3822.4546693891175,5488.926199856405,2.3432000016327947,1.5548999945167452,4.135800001677126,4,4778.508795358585,4751.719624968713,4812.007536569967,7.057900002109818,6.7380999971646816,9.604000020772219,4
21,4789.652386265201,3787.79544955233,5384.778069210022,2.3342000058619305,1.8380999972578138,3.999399981694296,5,4808.253648313012,4701.842699963403,4959.698027653061,7.704400006332435,7.368599995970726,10.563399991951883,5
22,5269.277132970887,4433.431002200361,5931.842282628838,2.504350006347522,1.8717000202741474,4.45659999968484,5,5342.78262507152,5236.37167672191,5494.227004411569,8.596649990067817,8.1443999952171,12.237399991136044,5
