n_cargos,static_v3_cost_mean,static_v3_cost_min,static_v3_cost_max,static_v3_time_ms,static_v3_rounds,dynamic_v2_cost,dynamic_v2_time_ms,dynamic_v2_rounds
1,637.5016980179281,551.5813375894074,936.4060734890419,0.4786999779753387,1,342.53020895112337,1.603799988515675,1
2,874.0319087173934,559.8352433764237,1073.6801192880519,0.40359998820349574,1,533.0723120821017,1.239899982465431,1
3,1000.397022209369,788.3634342389608,1319.8058762937956,0.4656999954022467,1,843.5646901708869,1.5435000241268426,1
4,1044.293333909296,837.8270671847475,1277.5408633632555,0.6270000012591481,1,963.9214934723428,2.1795000066049397,1
5,1373.4283996946067,1099.8210025551111,1649.517376377698,0.9623999940231442,1,1187.4009441953185,2.3831999860703945,1
6,2015.4947066951584,1651.3749519899707,2707.5848147760003,0.9974999993573874,2,1797.6491266879204,2.829699980793521,2
7,2119.3946050312193,1517.7369585805077,2884.9032417472613,1.194800017401576,2,2023.2912558807384,3.212300012819469,2
8,2446.022884096254,2116.252394422823,2716.116203554251,1.367799995932728,2,2025.8677896409056,3.180900006555021,2
9,2586.9961404799533,2297.2536153476385,2995.142192109988,2.4736000050324947,2,2650.314448331478,4.618300008587539,2
10,2658.4750247331067,2384.091362289797,3247.8201641454493,1.6767000197432935,2,2476.8277874750243,4.472200002055615,2
11,3022.9255220060554,2531.7678083486394,3785.6904975770626,3.100900008575991,3,2462.0951959929225,4.420999990543351,3
12,3196.486424209265,2947.6056944805605,3702.235345394193,1.8971000099554658,3,2551.9862408787867,4.719199991086498,3
13,3202.143398510336,2846.9066050955153,3680.6124684703864,1.5668999985791743,3,2665.1800120859057,5.277299991576001,3
14,3450.9973089706295,2922.311119620779,3994.436551873132,1.8498999997973442,3,3160.651448380676,5.5896000121720135,3
15,3637.804065086915,3324.8799825718725,4195.6693878925735,2.028599992627278,3,3173.0877180615676,6.590900011360645,3
16,3798.118342888941,3131.250803821091,4314.942349187941,1.9610000017564744,4,3299.865412445073,6.15160001325421,4
17,3745.1808331818675,3118.0904523284576,4404.778929187631,2.386499982094392,4,3265.975706698539,6.316499988315627,4
18,4384.434167277019,4126.550531022888,4507.6781133347995,1.9771000079344958,4,3475.036755785787,6.947100016986951,4
19,4417.30649889171,3765.743601141413,4933.34670343055,2.0164000161457807,4,4433.194279770945,8.263299998361617,4
20,4416.7228493315515,3947.925365316631,5219.8303968479295,2.1662999934051186,4,4236.40564517802,8.42739999643527,4
21,4942.028201980247,4525.876734352962,5331.579479265966,2.3818000045139343,5,4375.014241381956,8.72369998251088,5
22,5135.798561501644,4718.259150787262,5563.705086849011,3.6191999970469624,5,4626.246284844881,8.666599984280765,5
23,5143.507057060527,4685.948124840585,5553.651068772093,2.689300017664209,5,4800.746132562357,9.54899998032488,5
24,5538.2694496060785,5015.923643066786,5929.918042624628,2.556499995989725,5,4795.291688380063,9.6528000140097,5
25,5622.745689997392,5118.528735329036,6580.133319195133,2.6593999937176704,5,4910.154740962255,12.031800026306883,5
26,5765.729867537987,5132.534593666178,6359.602156948776,3.1064999930094928,6,5244.358358910117,10.827199992490932,6
27,5922.192000140404,5657.745119709727,6225.755031633739,3.112400008831173,6,5409.679673274658,11.607699998421595,6
28,5946.077013077868,5530.893322977907,6575.88243085955,2.868900017347187,6,5897.842185635813,12.192900001537055,6
29,6384.737311768031,5803.3384396368165,7133.883567566955,2.9783000063616782,6,5596.0421973132925,12.341199995717034,6
30,6493.525088154221,5959.589678963937,7452.519989288432,3.4018000005744398,6,5818.380304084485,13.969899999210611,6
31,6555.541761512704,6056.265704459209,7073.215357706499,3.1684999994467944,7,5907.452783140884,13.695599976927042,7
32,6915.919586333838,6559.879801803155,7719.142964669275,3.5478000063449144,7,6371.965703576156,14.902700000675395,7
33,6716.830123730308,6530.224067623798,6929.098167680882,4.375699994852766,7,6697.780904774832,16.237900010310113,7
34,6715.601478362914,6402.235220190029,7445.643229473003,3.6250999837648124,7,6945.345068840355,17.62790000066161,7
35,7350.35953689757,6737.621682842071,8145.547654683072,3.5755999851971865,7,6908.567695750455,18.08879998861812,7
36,7478.367380400937,7024.891237958392,8006.771205137758,3.400999994482845,8,6961.58890790328,16.30519999889657,8
37,7841.228607704888,7232.5807026103885,8317.442644458057,3.8419000047724694,8,6604.481105345956,17.41480000782758,8
38,7726.785479387111,7283.57617402432,8249.40920611093,3.538300021318719,8,6913.166597241534,15.432699990924448,8
39,7886.815413808299,7140.315717938041,8788.574279510052,5.1555999962147325,8,7095.384359287684,17.958799988264218,8
40,7927.021376669842,7386.355883120144,8620.971579580928,3.6829999880865216,8,7158.397453357396,19.36149998800829,8
41,8174.856429217503,7869.243816637016,8629.38896762185,4.247600008966401,9,8080.1805383140445,17.798000015318394,9
