n_cargos,static_v2_cost,static_v2_time_ms,dynamic_v2_cost,dynamic_v2_time_ms
1,342.53020895112337,1.4135000019450672,342.53020895112337,0.8262999981525354
2,466.65590893497335,1.685100003669504,533.0723120821017,1.2644999951589853
3,715.7161670619892,2.4021999997785315,843.5646901708869,1.528500004496891
4,846.9141365018752,2.526600001147017,1038.3463511646153,1.7000000007101335
5,1039.1425961993248,3.4414999972796068,1428.699132674335,1.8496999982744455
6,1413.174163589259,4.3411000006017275,1971.7530640748996,2.4576999931014143
7,1580.535798469407,5.509300004632678,2097.7609172493894,2.969399996800348
8,1702.4093124469618,6.213600005139597,2176.859123345584,3.035200003068894
9,1927.7384289500446,6.593600002815947,2387.6918800439,3.915100001904648
10,1977.093186458639,7.197599996288773,2785.2921916903615,3.0237999962992035
11,2053.992984585668,7.448200005455874,1891.8813578770257,3.5791999980574474
12,2218.934580424815,8.236599998781458,2665.936825864169,4.340800005593337
13,2300.5309227492708,9.125100004894193,2975.1617318407707,4.721699995570816
14,2411.5720229670806,9.598900003766175,3341.0476751035285,5.217900004936382
15,2713.6507148063097,10.101799998665228,3711.4455392054374,5.678299996361602
16,2837.486267530968,10.475099996256176,3314.878630926941,6.065000001399312
17,2873.1305602611264,10.84949999494711,2933.7349044379,5.281800004013348
18,3346.3736949012764,12.105800000426825,3403.7179839764894,5.834700001287274
19,3471.5743776728123,12.645100003283005,3537.737696254627,5.958000001555774
20,3588.2209840675278,12.61819999490399,4072.3017338718983,7.076800000504591
21,3807.696084488268,13.202300004195422,3679.186302471846,7.824599997547921
22,4307.410404173985,14.40129999537021,3844.8227221941606,8.448100001260173
23,4429.661518016201,15.091699999175034,4122.993944787094,8.49970000126632
24,4641.719613096933,15.409999999974389,4235.356499387641,9.038500000315253
25,4876.739378838343,15.791300000273623,4335.497351053081,8.542200004740153
26,5300.169058216741,16.485899999679532,5235.012616732789,10.097300000779796
27,5397.788601369896,19.223300005251076,4553.281619749729,10.032400001364294
28,5502.25816178847,17.587800000910647,4431.4493695729425,9.927500002959277
29,5710.403527197523,18.156600002839696,4936.787255350658,10.640399996191263
30,5820.381047123212,19.009100004041102,5351.142467894251,11.744499999622349
31,5913.923095517237,21.16770000429824,5809.032070980193,11.285100001259707
32,5970.211569054118,19.946500004152767,5792.306007210842,13.690799998585135
33,6096.7202065712045,20.719499996630475,5346.944184503301,14.46159999613883
34,6202.048118994217,20.72599999519298,5219.408702559407,13.949300002423115
35,6476.035579025259,22.378200003004167,5636.956575868387,14.198300006682985
36,6520.345848722166,22.73589999822434,6015.155938140535,14.77780000277562
37,6595.404820850838,22.47650000208523,6495.591473294984,16.430900002887938
38,7021.286543164742,24.67820000310894,6526.454949656541,17.0672000022023
39,7050.092393534333,23.766800004523247,6795.725681570356,16.422900000179652
40,7062.688584746065,24.282699996547308,6305.120211376455,16.54710000002524
41,7211.471810058521,26.656699999875855,6723.768051324621,17.719099996611476
42,7236.060551875447,25.799200004257727,7330.422295712953,19.076000004133675
43,7501.64082499669,26.746199997432996,6921.003176740576,22.62210000480991
44,7549.868649594433,27.1610000054352,7472.732030056173,20.035000001371372
45,7550.012618476878,27.472100002341904,7795.314182899663,20.839500000874978
46,7699.1187531844935,30.479999993985984,7576.638653578616,20.23350000672508
47,7977.386816939316,28.622900004847907,7857.192004611812,24.928300001192838
48,8107.131600614005,29.279599999426864,8008.694815190294,23.557500004244503
49,8176.66833136731,30.320000005303882,8104.65946514315,23.642599997401703
50,8324.531470713653,32.80730000551557,8269.518217187706,24.03780000167899
51,8398.305791664196,32.344999999622814,8354.49475426457,24.93030000186991
52,8736.997887020569,32.44730000005802,8899.572479626368,25.41159999964293
53,8797.566437410524,33.28060000058031,8708.261994111805,26.076599999214523
54,8926.913248269277,32.7672999992501,8874.331486837877,27.36969999386929
55,8975.526757274876,33.25039999617729,9203.839049955095,27.749300003051758
56,9099.724508317024,36.06199999921955,8813.496554558093,28.3973000041442
57,9253.027224902446,34.81810000084806,9188.52546806402,29.92160000576405
58,9276.005412675979,34.91710000525927,9656.933138388242,29.087700000673067
59,9588.474656779117,37.81680000247434,9676.056855921313,33.1778999970993
60,9645.349757819604,35.88490000402089,9285.515971776975,30.409799997869413
61,9777.737154637423,36.919899997883476,9546.611049872057,32.022899998992216
62,9974.073551530972,38.720299999113195,10262.484423348933,33.41250000084983
63,10095.947065508526,38.12910000124248,9674.872413220874,33.26809999998659
64,10216.415703874192,38.785100005043205,9503.979116188151,34.938400000100955
65,10359.316983532277,44.40649999742163,10063.945416979479,34.05919999931939
66,10524.258579371424,42.461099998035934,9938.162018393192,35.85810000367928
67,10683.620444131213,40.90580000047339,10154.398404135087,37.47520000615623
68,10864.255821556642,42.117400000279304,10223.860867736092,37.29339999699732
