n_cargos,static_v3_cost_mean,static_v3_cost_min,static_v3_cost_max,static_v3_time_ms_median,static_v3_time_ms_min,static_v3_time_ms_max,static_v3_rounds,dynamic_v2_cost_mean,dynamic_v2_cost_min,dynamic_v2_cost_max,dynamic_v2_time_ms_median,dynamic_v2_time_ms_min,dynamic_v2_time_ms_max,dynamic_v2_rounds
1,679.0851464257669,509.8475070008873,1003.6010419630563,0.2554499988036696,0.20850000146310776,0.29739999445155263,1,509.8475070008873,509.8475070008873,509.8475070008873,0.9080500021809712,0.7836000004317611,1.3658999960171059,1
2,805.1202424434625,557.1265305512401,1184.916424166368,0.4126999992877245,0.2762000003713183,0.6506999998237006,1,617.7277260985536,617.7277260985536,617.7277260985536,1.052650000929134,1.0220999974990264,1.2387000024318695,1
3,1018.940023752515,703.6625941165325,1424.0198902022705,0.5828000030305702,0.37120000342838466,0.7952000014483929,1,779.1461888605988,710.5597676786917,909.1730580241511,1.8388500029686838,1.3548999995691702,2.351399998588022,1
4,1175.724752434586,717.8937148503651,1625.583778884268,0.675200000841869,0.5194999976083636,0.8133000010275282,1,1433.8123923854635,1433.8123923854635,1433.8123923854635,1.478750000387663,1.3986999983899295,1.7765999946277589,1
5,1621.9558881566015,1198.556342471789,2222.322739235511,0.8723499995539896,0.6819000045652501,1.0833999986061826,1,1765.4206144439536,1739.4656774225505,1805.115005887559,1.9784999967669137,1.7242999965674244,3.0695999957970344,1
6,2195.744899731477,1733.4160019712676,2742.44633595694,1.0047499999927823,0.782300005084835,1.2586999946506694,2,2109.620646060388,2083.665709038985,2149.315037503993,2.307199996721465,2.133099995262455,2.7865000010933727,2
7,2296.6069122401227,1747.9123617760347,2596.917664530369,1.1548000038601458,0.8911999975680374,1.3868000023649074,2,2202.9565161963887,2168.833583415363,2234.482911880372,2.988500000355998,2.7816000001621433,4.4019999986630864,2
8,2667.9244737382915,1972.2443226963678,3364.8924674102614,1.3834499986842275,1.2221999932080507,3.046900004846975,2,2312.262489082833,2229.770340404141,2366.0911834407602,3.2474999970872886,3.0591000031563453,6.59569999697851,2
9,2802.1080148961237,2365.469627742948,3256.0359048982373,1.6537000010430347,1.5034000025480054,2.356800003326498,2,2579.2503897165625,2440.6030971024566,2732.8070608476205,4.008899999462301,3.4621000013430603,6.5085999958682805,2
10,2985.178973814576,2395.0185221163347,3328.7090279646654,1.6678499996487517,1.301900003454648,3.405900002690032,2,2580.576754497147,2409.822542333633,2722.9718279440112,3.4108500003640074,3.260600002249703,4.207999998470768,2
11,3094.0754085519743,2488.8771523357136,3726.432294291084,1.7023500004142988,1.4990000054240227,2.464400000462774,3,1995.840148450465,1886.1180199670002,2176.326596317962,3.9227499983098824,3.5319000016897917,6.140199999208562,3
12,3166.445555730485,2812.3463660741245,3553.9615254137652,1.6159999977389816,1.3887000022805296,2.157199996872805,3,2630.509082393614,2523.109908158654,2815.9182450620324,4.514399999607122,4.057999998622108,6.36790000135079,3
13,3306.195280367789,2890.5246755503404,3886.9390023489977,1.6669499964336865,1.4720000035595149,2.0589999985531904,3,2939.6215790534393,2769.9600042152983,3117.7390801994616,5.63865000003716,5.17299999773968,7.522200001403689,3
14,3603.985665827896,3161.8836922155815,4155.712449290583,1.9012500015378464,1.5845000016270205,2.7208000028622337,3,3085.5557401771894,2896.1520688958144,3243.704552691792,5.631100000755396,5.293499998515472,12.030100006086286,3
15,3735.7120353086,2971.81708400922,4559.62603724779,1.9580999978643376,1.7599000057089143,3.3995999983744696,3,3849.2373668874043,3755.149745667026,3881.7034964475074,5.880950000573648,5.589100001088809,7.618199997523334,3
16,3960.4322720854443,3300.609874806628,4519.209643725451,2.4863500002538785,1.9648000015877187,4.8720999984652735,4,3446.0810305412106,3234.5066982908884,3738.3029786844318,6.227800004126038,5.963700001302641,9.637100003601518,4
17,3809.5259456855138,3144.919983225105,4357.666521649591,2.1174000030441675,1.917699999467004,2.574200007074978,4,4106.501655643088,3832.0300286596816,4218.78587088347,6.478250001237029,6.12419999379199,6.98059999558609,4
