n_cargos,static_v2_cost,static_v2_time_ms,dynamic_v2_cost,dynamic_v2_time_ms
5,2209.9313748747863,5.445299997518305,1187.4009441953185,2.221599999757018
7,2965.0445782010092,6.346000001940411,2023.2912558807384,3.282400000898633
9,3218.0601645707748,8.309299999382347,2650.314448331478,4.059499995491933
11,3514.7199888174964,8.528300000762101,2462.0951959929225,4.4056999977328815
13,3743.9233234387625,10.544200005824678,2665.1800120859057,4.83110000641318
15,4379.720917204929,11.488900003314484,3173.0877180615676,6.524600001284853
17,4378.259386036449,12.402000000292901,3265.975706698539,6.217199996171985
19,4523.5967813006,13.577099998656195,4433.194279770945,7.953799999086186
21,4816.4052507613815,14.694299999973737,4375.014241381956,8.618799998657778
23,5287.964704881917,15.977100003510714,4800.746132562357,8.950700001150835
25,5782.260132497786,18.570799998997245,4910.154740962255,9.981199997127987
27,6353.074442613499,21.48759999545291,5409.679673274658,10.751800000434741
29,6686.930740783206,20.81200000247918,5596.0421973132925,11.612900001637172
31,6820.002958739175,21.416299998236354,5907.452783140884,12.589199999638367
33,7238.051582097421,22.87359999900218,6697.780904774832,15.017400000942871
35,7883.616195525217,24.140100002114195,6908.567695750455,17.25839999562595
37,8010.810095864935,25.475700000242796,6604.481105345956,16.61999999487307
39,8423.492991542922,26.016900003014598,7095.384359287684,15.977399998519104
41,8638.058812768646,27.03200000541983,8080.1805383140445,16.635500003758352
43,8873.606564079311,28.67580000020098,7558.063636688135,17.602500003704336
45,9026.46245785188,28.543799999170005,8139.098650408841,18.677200001548044
47,9548.05325673697,30.28459999768529,8017.567116081658,19.998299998405855
49,9568.526891751339,31.63430000131484,8422.43622052408,21.40489999874262
51,9838.381950787338,31.789000000571832,8578.401127046163,22.553800001333002
53,10025.4761285571,33.88979999726871,8971.048849936658,24.355499997909646
55,10203.436448421453,38.655499993183184,9040.070091941825,24.568599998019636
57,10469.346472746027,36.58770000038203,9276.594429982375,25.85929999622749
59,10623.391262473742,36.54180000012275,9962.083422552754,27.274200001556892
61,10888.955111897754,39.57590000209166,9937.090221645385,29.386599999270402
63,11193.186940748568,39.70869999466231,10157.319534113134,29.388499999186024
65,11496.23354325024,41.02679999778047,9576.263148675243,31.673800003773067
67,11764.343791971905,41.77769999660086,11038.031050537182,32.98480000376003
69,11741.307677491723,45.144299998355564,10879.770057402833,34.34769999876153
71,12215.471939518899,45.56079999747453,10357.522834316827,39.143699999840464
73,12899.713073001352,46.966299996711314,11126.135007482451,37.1889000016381
75,13146.345165143677,47.86639999656472,11366.905459128378,37.20840000460157
77,13426.2247876788,54.364999996323604,11707.893566014587,42.199200004688464
79,13766.04260614913,53.784199997608084,11550.655317051447,41.50200000003679
81,13914.354303117792,55.789999998523854,11800.43891231411,43.93060000438709
83,14146.766334391092,52.29700000199955,11787.928862430106,44.630900003539864
85,14306.935216534845,56.99769999773707,12276.079676042002,44.56019999634009
87,14739.627498203425,56.95230000128504,12170.8616535578,50.103400004445575
89,14978.85648612342,61.1332999978913,12505.8247043111,47.87909999868134
91,15166.198759789551,58.45779999799561,12687.854659745906,49.779200002376456
93,15218.187183209084,61.03180000354769,13417.134748900095,51.785200004815124
95,15460.561408630578,62.832300005538855,13130.91478741011,53.989100000762846
97,15804.834521482848,60.27909999829717,14057.595267061604,55.83699999988312
99,15999.71145083396,63.657500002591405,13822.106921099587,59.56420000438811
101,16299.243851000234,67.69010000425624,14456.92176927385,57.23280000529485
103,16588.57056547972,68.04879999981495,14547.123213764255,59.81220000103349
105,16764.641594503664,66.43010000698268,14611.00393729298,59.304900001734495
107,16859.902287049026,69.8125000053551,15302.00109364398,64.43989999388577
109,17881.340104381383,75.71160000225063,14774.21091263953,67.34859999414766
111,18114.92710980451,71.90380000247387,15450.804516857295,69.95160000224132
113,18539.189950104723,74.53220000024885,15465.472487296613,68.8912000041455
115,18855.23787523219,72.97500000277068,15831.47019030298,79.29149999836227
117,18970.497290458297,77.78829999733716,15868.311808888498,74.59599999856437
119,19190.7775235759,81.48590000200784,16390.858982500602,75.78880000073696
121,19482.264356172625,76.96439999563154,16276.40771817421,77.02770000469172
123,19847.592600675925,80.0364000024274,16821.744598346755,82.51449999806937
125,19941.21438531553,78.77400000143098,16873.80000228963,81.54780000040773
127,20080.49190538354,81.20909999706782,17075.580802266228,87.149999999383
129,20376.042522051957,85.73710000200663,17880.217389837515,87.56979999452597
131,20632.48879187074,87.15170000505168,18002.849409643582,89.38369999668794
133,20966.12569803567,86.088900003233,18497.267015730627,93.14850000373553
135,20840.21773139626,88.58470000268426,18352.712896384524,93.3184000023175
137,21040.153460136302,86.89540000341367,18361.7251476973,93.63250000023982
139,21305.96961191536,88.84439999383176,19039.665245425,95.06289999990258
141,21487.45288334882,88.93979999993462,19076.11299811459,99.41280000202823
143,21746.10052689488,92.32150000025285,19060.09928538156,111.99359999591252
145,22059.194751987747,95.69309999642428,19743.368169937836,106.25309999886667
147,22218.816585670273,96.45739999541547,19594.394701095003,106.26990000309888
149,22504.464182185337,99.0689000027487,20027.678481737465,111.2143999998807
151,22805.374461039686,99.79540000495035,20233.542674777567,110.8059999969555
153,22980.867479328157,99.04639999876963,20396.845952359956,112.87370000354713
155,23201.224724661075,98.38119999767514,20662.488339181964,112.422999998671
157,23566.574379945683,98.3051000002888,20970.083448451678,114.56480000197189
159,23729.082415628658,102.20009999466129,21466.93539916712,119.26899999525631
161,24199.818698588446,104.2825000040466,21573.244272359065,123.69069999840576
163,24464.954213179117,105.60109999642009,21929.69084629564,124.17540000024019
165,24749.09620179341,107.50549999647774,22179.64299978268,130.333499997505
167,24933.880506404155,106.77969999960624,21988.224296344146,134.42729999951553
169,25159.612106759818,105.25610000331653,22569.712979042197,133.22839999455027
171,25478.027297431054,111.47670000354992,22076.098662856428,134.3224000011105
173,25475.248270067103,109.93900000175927,22579.75939871443,139.80670000455575
175,25911.810322511632,110.38399999961257,22722.195892152078,141.2205000015092
177,25820.50307471837,112.0946000010008,22445.909466769772,140.05419999739388
179,26068.716802226027,115.54259999684291,22741.764069493984,141.62149999901885
181,26249.78355114796,114.42230000102427,23147.618892766055,150.14130000054138
183,26474.038094337826,117.67880000115838,23183.11600725521,146.0667999999714
185,26931.731066880722,120.08749999949941,23345.65894163506,150.52030000515515
187,27161.437299306963,120.6291999988025,23293.18353756277,151.57309999631252
189,27365.51701310132,121.49350000254344,24160.433219202674,161.42089999630116
191,27454.16272292814,122.81600000278559,24169.80739852724,164.54959999828134
193,27583.20078145901,124.66239999776008,24327.268379456284,159.69690000201808
195,27785.636256436956,125.84439999773167,24378.0284002076,161.7035000017495
197,28004.496536767354,127.60129999514902,24766.288676670934,165.93049999937648
199,28209.266936156895,123.66209999890998,24563.349226794264,167.34839999844553
