n_cargos,static_v2_cost,static_v2_time_ms,dynamic_v2_cost,dynamic_v2_time_ms
1,342.53020895112337,2.051499999652151,342.53020895112337,0.7503000015276484
2,466.65590893497335,2.1746000056737103,533.0723120821017,1.2213999943924136
3,741.9982982249184,2.4032000001170672,843.5646901708869,1.506699998572003
4,795.0345408076053,2.7732000016840175,963.9214934723428,1.8215999953099526
5,1321.6276913762208,4.043900000397116,1187.4009441953185,2.0014999972772785
6,1501.7583354483484,4.5303000006242655,1797.6491266879204,3.0494999955408275
7,1919.4554691336475,6.002100002660882,2023.2912558807384,3.207400004612282
8,2291.399992306103,7.90430000051856,2025.8677896409056,3.5194000010960735
9,3044.803900604771,8.370600000489503,2650.314448331478,4.452399996807799
10,2840.1034441422116,12.574500004120637,2476.8277874750243,4.353899996203836
11,3128.7370412493556,12.329400000453461,2462.0951959929225,5.035499998484738
12,2914.34741895386,9.23250000050757,2551.9862408787867,5.802200001198798
13,3395.95624681767,9.362800003145821,2665.1800120859057,5.00149999425048
14,3101.32586058166,10.083400004077703,3160.651448380676,5.385399999795482
15,3726.859774372915,11.544500004674774,3173.0877180615676,5.722800000512507
16,3516.951249310747,11.297500001091976,3299.865412445073,5.96199999563396
17,3479.90352206292,12.37560000299709,3265.975706698539,6.119699995906558
18,5699.920264440212,13.223499998275656,3475.036755785787,6.854299994301982
19,5350.222077190685,13.80829999834532,4433.194279770945,8.108800000627525
20,5398.046706399571,14.334999999846332,4236.40564517802,8.114600001135841
21,5493.044927494711,14.489499997580424,4375.014241381956,9.127000004809815
22,4973.03720393818,14.783999999053776,4626.246284844881,8.51360000524437
23,4843.346135740587,15.740000002551824,4800.746132562357,8.867199998348951
24,5180.381495317943,16.21529999829363,4795.291688380063,9.339600001112558
25,5195.795981954108,16.4093999992474,4910.154740962255,9.880100005830172
26,5360.0214235702315,18.130199998267926,5244.358358910117,10.262199997669086
27,6007.061419968037,17.991799999435898,5409.679673274658,10.534299995924812
28,6087.133446654236,18.444599998474587,5897.842185635813,11.427800003730226
29,5864.166145934427,19.70430000073975,5596.0421973132925,12.424200001987629
30,5841.043724793044,19.904299995687325,5818.380304084485,12.130600000091363
31,6297.283894915172,20.090799996978603,5907.452783140884,12.52799999929266
32,6771.825029857886,22.24739999655867,6371.965703576156,13.976100002764724
33,6838.290287144215,21.60199999343604,6697.780904774832,14.21900000423193
34,6478.917501637314,21.780600000056438,6945.345068840355,17.613199997867923
35,6376.3640452543905,23.21959999972023,6908.567695750455,14.881900002365
36,6808.625183927661,22.965299998759292,6961.58890790328,15.089000000443775
37,7068.617627041772,24.508100003004074,6604.481105345956,15.523099995334633
38,7265.860419611388,24.84309999999823,6913.166597241534,15.931200003251433
39,7831.564409930308,24.824799998896196,7095.384359287684,15.52310000261059
40,7956.979041578207,26.750899996841326,7158.397453357396,15.835899997910019
41,7571.564705446961,28.321799996774644,8080.1805383140445,16.548799998417962
42,7718.356740052333,26.87839999998687,8029.718729177687,16.676799998094793
43,7656.723197142241,27.1850000062841,7558.063636688135,17.100299999583513
44,7854.83611532541,26.8147000024328,7670.048795432474,19.903100001101848
45,8265.646973403544,27.72769999864977,8139.098650408841,18.678500004170928
46,8605.207645360395,30.228399999032263,7903.2981154975705,19.524300005286932
47,8592.499283517032,29.47649999987334,8017.567116081658,20.64270000118995
48,8581.794595062593,29.920100001618266,8470.224688435554,19.831000005069654
49,8933.00355265736,31.36169999925187,8422.43622052408,27.30860000156099
50,8650.360585745919,35.884600001736544,9095.818055165702,23.374900003545918
51,8978.785009220293,35.918699999456294,8578.401127046163,24.882700003217906
52,9087.61188790717,35.978699997940566,8932.02193095193,25.164099999528844
53,9537.5740259588,37.74149999662768,8971.048849936658,25.161800003843382
54,9355.488390509197,34.08149999449961,9015.763337439026,26.23120000498602
55,9857.735059374578,36.075800002436154,9040.070091941825,24.745999995502643
56,9635.588992238288,38.442599994596094,9428.228781923688,28.09999999590218
57,9500.33898096649,39.811200003896374,9276.594429982375,28.70950000215089
58,10153.004879155133,37.48709999490529,9243.957755722622,28.345200000330806
59,10069.00597511877,37.83159999875352,9962.083422552754,28.171700003440492
60,10058.38089742186,37.74920000432758,9852.529287380472,28.25410000514239
61,10385.749262996389,38.94639999634819,9937.090221645385,28.385999998135958
62,10391.912769318908,42.01479999755975,9530.598866214084,28.700700000626966
63,10611.410225567552,40.67200000281446,10157.319534113134,30.701399999088608
64,11113.099206104183,39.99190000467934,10178.288737098723,29.664300003787503
65,10774.419544360477,40.45429999678163,9576.263148675243,29.98939999815775
66,10640.338048380187,40.951199996925425,10247.748674196495,30.765600000449922
67,11540.36165423434,41.32730000128504,11038.031050537182,32.51230000023497
68,11404.158170760427,44.55339999549324,10985.19295187577,34.51420000055805
69,11287.171471810734,42.08880000078352,10879.770057402833,34.44599999784259
70,11379.435343661748,43.498699997144286,10646.420798885896,34.53620000072988
