n_cargos,static_cost,static_time_ms,dynamic_cost,dynamic_time_ms
5,1394.7881631540993,3.5535999995772727,1187.4009441953185,3.2046000014815945
7,1903.0039068175956,4.883199999312637,2023.2912558807384,3.1232000001182314
9,2837.7144740272156,6.536700002470752,2650.314448331478,4.443900001206202
11,3103.6243970780183,6.718299999192823,2462.0951959929225,5.075799999758601
13,3363.2422575882297,6.801499999710359,2665.1800120859057,5.054400000517489
15,3908.183612992949,7.852599999750964,3173.0877180615676,5.728100000851555
17,4119.020646676365,8.233000000473112,3265.975706698539,5.922600001213141
19,4541.195474546721,10.10169999790378,4433.194279770945,7.929100000183098
21,4928.7907618834815,10.231399999611313,4375.014241381956,8.51669999974547
23,5423.233911381505,11.268199999904027,4800.746132562357,8.917600000131642
25,5954.065400256312,12.691100000665756,4910.154740962255,10.090899999340763
27,6272.706512189649,13.676900001883041,5409.679673274658,10.851600000023609
29,6558.9205035602345,16.340399997716304,5596.0421973132925,13.594200001534773
31,6794.739873149813,21.97429999796441,5907.452783140884,12.989499999093823
33,6984.677322109709,16.555599999264814,6697.780904774832,14.282500000263099
35,7325.115616473692,18.352499999309657,6908.567695750455,14.52170000266051
37,7727.513519612718,17.17100000314531,6604.481105345956,15.499599998292979
39,8052.2939616041895,19.54929999919841,7095.384359287684,16.521199999260716
41,8588.830576667719,19.523499999195337,8080.1805383140445,16.817200001241872
43,8823.737159261698,21.51149999917834,7558.063636688135,17.55369999955292
45,9046.289663077634,20.93080000122427,8139.098650408841,19.30210000136867
47,9468.874712553137,23.450600001524435,8017.567116081658,18.974700000399025
49,9799.447697016043,24.32589999807533,8422.43622052408,20.82940000036615
51,10165.924129966508,23.651999999856343,8578.401127046163,22.0657999998366
53,10927.407355852745,27.580300000408897,8971.048849936658,24.849400000675814
55,11245.59243354495,26.506700000027195,9040.070091941825,24.107199998979922
57,11503.00253970609,28.44349999941187,9276.594429982375,26.594200000545243
59,11594.611349528324,27.66440000050352,9962.083422552754,27.872999999090098
61,11898.91253462009,28.798100000130944,9937.090221645385,29.74999999787542
63,12409.861474603935,29.983799999172334,10157.319534113134,29.262699998071184
65,12907.951147304988,30.80739999859361,9576.263148675243,30.368600000656443
67,13257.883289698802,30.90119999978924,11038.031050537182,34.48650000063935
69,13583.556176985077,35.34189999845694,10879.770057402833,35.942700000305194
71,14060.416108962861,33.759900001314236,10357.522834316827,35.17640000063693
73,14706.46198615926,36.44749999875785,11126.135007482451,38.231700000324054
75,14817.629608363744,34.35940000053961,11366.905459128378,40.94930000064778
77,15392.194855243837,38.04949999903329,11707.893566014587,40.59550000238232
